"t_id,product_1,product_2,product_3,Product_4"
"1,MILK,BREAD,BISCUIT"
"2,BREAD,MILK,BISCUIT,CORNFLAKES"
"3,BREAD,TEA,BOURNVITA"
"4,JAM,MAGGI,BREAD,MILK"
"5,MAGGI,TEA,BISCUIT"
"6,BREAD,TEA,BOURNVITA"
"7,MAGGI,TEA,CORNFLAKES"
"8,MAGGI,BREAD,TEA,BISCUIT"
"9,JAM,MAGGI,BREAD,TEA"
"10,BREAD,MILK"
"11,COFFEE,COCK,BISCUIT,CORNFLAKES"
"12,COFFEE,COCK,BISCUIT,CORNFLAKES"
"13,COFFEE,SUGER,BOURNVITA"
"14,BREAD,COFFEE,COCK"
"15,BREAD,SUGER,BISCUIT"
"16,COFFEE,SUGER,CORNFLAKES"
"17,BREAD,SUGER,BOURNVITA"
"18,BREAD,COFFEE,SUGER"
"19,BREAD,COFFEE,SUGER"
"20,TEA,MILK,COFFEE,CORNFLAKES"
